Row   2 | [LCMP    ] LOADING COMPUTER                           | FUNC: MEASUREMENT INSTRUMENTS                  | MACH: LAODING COMPUTER                    | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row  66 | [GALSUPFA] GALLEY SUPPLY FAN                          | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  67 | [VSSEF1  ] SANITARY SP1 EXH.FAN                       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  68 | [WINWIP1 ] WINDOW WIPER NO.1                          | FUNC: NAVIGATION EQUIPMENT                     | MACH: WINDOW WIPER & CLEAR VIEW SCREEN    | WISDOM_FUNC: NAVIGATION EQUIPMENT
Row  69 | [WINWIP2 ] WINDOW WIPER NO.2                          | FUNC: NAVIGATION EQUIPMENT                     | MACH: WINDOW WIPER & CLEAR VIEW SCREEN    | WISDOM_FUNC: NAVIGATION EQUIPMENT
Row  70 | [WINWIP3 ] WINDOW WIPER NO.3                          | FUNC: NAVIGATION EQUIPMENT                     | MACH: WINDOW WIPER & CLEAR VIEW SCREEN    | WISDOM_FUNC: NAVIGATION EQUIPMENT
Row  71 | [VCO2EF  ] CO2 ROOM EXHAUST FAN                       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  72 | [CREREREF] CREW'S REC. ROOM EXHAUST FAN               | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  73 | [EDGEXFAN] EM'CY D/G ROOM EXHAUST FAN                 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  74 | [DHOSPVEN] HOSPITAL  VENTILATION / EXHAUST FAN        | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  75 | [OFFREREF] OFF'S REC. ROOM EXHAUST FAN                | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  76 | [WHDESF1 ] W/H WINDOWS DEFROSTING SYSTEM SUPPLY FAN NO.1 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
